pagina,degree_centrality,closeness,betweenness,eigenvector_centrality,pagerank,in_degree,out_degree,degree_total
Codificação de caracteres,0.022727272727272728,0.3119753652540538,0.00020022549581370013,0.006589725631704234,0.0012673256100826297,5,4,9
Colossus (computador),0.03282828282828283,0.32339407143328713,0.0003831049712463225,0.007588177640376647,0.0014203856756711164,6,7,13
Combinatória,0.11111111111111112,0.3334184159655858,0.0006403317023479519,0.014850355693392719,0.0021744307522909637,26,18,44
Compilador,0.17424242424242425,0.37314700549994667,0.00504257178804066,0.0615369893355577,0.003517058799783024,53,16,69
Compiladores,0.015151515151515152,0.30656315321742833,5.811858516116284e-07,0.0071601539701396785,0.0008314053238127792,5,1,6
Complexidade computacional,0.07828282828282829,0.32509390886526235,0.003208041574331313,0.014552703971067225,0.0018121661383986773,16,15,31
Compressão de dados,0.022727272727272728,0.31158244917690764,1.2184520202473595e-05,0.011538242686966597,0.0008908250312571358,6,3,9
Computabilidade,0.030303030303030304,0.2948706372425085,0.00010735840418685507,0.004614690448012833,0.0007050464285642766,3,9,12
Computador digital,0.010101010101010102,0.30033751264149333,0.0,0.003590076803011166,0.0013201697909546047,4,0,4
Computador mecânico,0.04797979797979798,0.3088595064250495,0.0007531575847090578,0.011075686690732788,0.0007990591224202652,6,13,19
Computador quântico,0.29040404040404044,0.37655474070999184,0.0019354978034594138,0.10670308040234963,0.0024554237311783665,48,67,115
Computação,0.3888888888888889,0.4016176374130919,0.020143709858256968,0.11615233575554627,0.004938774652749327,67,87,154
Computação afetiva,0.015151515151515152,0.2870028592186365,2.1519070910979573e-06,0.003107531291481753,0.0006476559207319683,2,4,6
Computação científica,0.09595959595959597,0.32509390886526235,0.0010289777083450772,0.012679286385320615,0.0009662373991738925,12,26,38
Computação distribuída,0.03282828282828283,0.3204373204373204,0.0,0.013490760937091555,0.001079392598306995,13,0,13
Computação em grelha,0.01767676767676768,0.2999756602166241,0.0,0.004836222521080317,0.0006837807937771117,7,0,7
Computação evolutiva,0.015151515151515152,0.29853692803333093,0.0,0.004533383143874064,0.0006521859948501435,6,0,6
Computação gráfica,0.06565656565656566,0.3398303085803086,0.0039733115447434485,0.01761249021986029,0.002064173795599524,17,9,26
Computação paralela,0.0883838383838384,0.3316306496601403,0.0024792573871973735,0.018672048095769972,0.0017435552495436467,19,16,35
Computação quântica,0.04797979797979798,0.3135569894125027,0.00018082037674693787,0.010078073959632458,0.000970327849892596,7,12,19
