pagina,degree_centrality,closeness,betweenness,eigenvector_centrality,pagerank,in_degree,out_degree,degree_total
Memória (computador),0.13131313131313133,0.38363605235716175,0.0,0.11118497995219406,0.0027214758000864204,52,0,52
Memória RAM,0.007575757575757576,0.3104486259099725,0.0,0.006429283310749904,0.0007492766539551042,3,0,3
Memória de computador,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Mesopotâmia,0.04040404040404041,0.29842758099694167,0.0007092905023688011,0.003678055295689334,0.0010500932587007472,5,11,16
Metamodelagem,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Metodologia de desenvolvimento de software,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Microcontrolador,0.2878787878787879,0.37770452617780864,0.0017781853951798347,0.10861896901949813,0.0026428462651665583,50,64,114
Microprocessador,0.33080808080808083,0.3958343434343435,0.005438504868118043,0.11737502242134204,0.004222276394606694,60,71,131
Microsoft,0.11616161616161617,0.3676024734717157,0.0038281593163631295,0.02765605277156093,0.002993535788210729,22,24,46
Mineração de dados,0.06060606060606061,0.33207579147176464,0.00016458128121639245,0.014213007717244968,0.0010232408168647752,13,11,24
Modelagem de dados,0.25,0.33936414903493095,0.00160592995947667,0.049386793987957235,0.0016810946754569193,38,61,99
Modelagem de sistemas,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Modelo V,0.2297979797979798,0.3361365008783487,0.0,0.0482541334489962,0.0014152664934559938,34,57,91
Modelo de construção incremental,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Modelo de entidades e relacionamentos,0.005050505050505051,0.28651300112750056,0.0,0.003868278277233667,0.0006314899022618692,2,0,2
Modelo em cascata,0.23232323232323235,0.3361365008783487,6.00439503287796e-06,0.0482541334489962,0.0014156252126954088,34,58,92
Modelo em espiral,0.23232323232323235,0.3361365008783487,6.00439503287796e-06,0.0482541334489962,0.0014156252126954088,34,58,92
Modem,0.25,0.37655474070999184,0.00038399970446831316,0.10848785251438398,0.002505415877968243,47,52,99
Multimédia,0.2474747474747475,0.37202475886686415,0.0009434569253970441,0.10437654318630764,0.002311432734071646,41,57,98
Multiprocessamento,0.02777777777777778,0.31515473203371297,9.335285616549171e-06,0.010799489520324732,0.000825616139782322,9,2,11
Máquina de Turing,0.08585858585858587,0.32898466043412855,0.001095981488328629,0.023438406908511376,0.0020754759886110136,21,13,34
Métodos formais,0.2651515151515152,0.3436062008978676,0.0012348616048089974,0.05034837341122693,0.0015198941631043243,40,65,105
Nanotecnologia,0.2777777777777778,0.3714661631328298,0.0013297917641467143,0.10384010580650363,0.002278728188385836,41,69,110
Neurociência computacional,0.05050505050505051,0.3088595064250495,2.9393955683573905e-05,0.006607308638274705,0.0009033253869415254,10,10,20
Noam Chomsky,0.31313131313131315,0.3759824690675755,0.0033266228934754533,0.10645559341694302,0.0029664471122089254,48,76,124
Número de controle da Biblioteca do Congresso,0.32323232323232326,0.475762432012432,0.004384554871701334,0.13038069050336906,0.028242441529425413,126,2,128
Número inteiro,0.03535353535353536,0.3073248008030617,0.00030420601924071634,0.005416637776008962,0.0013692627969746074,9,5,14
Object model,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Ontologia (ciência da computação),0.2575757575757576,0.33751223007703224,0.001377931216363006,0.05077559243845739,0.001467603667057358,35,67,102
Operação bit a bit,0.10353535353535355,0.37272424847275143,0.0,0.10620897955255977,0.002239890267376371,41,0,41
Ordenação (computação),0.020202020202020204,0.3069435045241497,1.2300077131387548e-05,0.010568995172789124,0.0008537549175549454,6,2,8
Orientação a objeto,0.025252525252525256,0.2962831911933709,3.448709716051433e-06,0.00872905836702786,0.000949182765927098,9,1,10
Orientação a objetos,0.297979797979798,0.35854560093690535,0.006604590000743259,0.05957018475868602,0.0030292454677899095,47,71,118
Otimização combinatória,0.02777777777777778,0.29842758099694167,0.00017565402544725533,0.0046582368919987505,0.0007145104939740965,7,4,11
P2P,0.10353535353535355,0.37272424847275143,0.0,0.10620897955255977,0.002239890267376371,41,0,41
Paradigma de programação,0.31818181818181823,0.3580267216301949,0.004555717142460461,0.057131339980672775,0.0023637107466068785,53,73,126
Pascal (linguagem de programação),0.0984848484848485,0.32424176231515683,0.0009138811568342272,0.014322230915978383,0.0016447392371290686,19,20,39
Paul Allen,0.04040404040404041,0.3135569894125027,3.940674086869253e-05,0.010271753557091926,0.000835162563798197,6,10,16
Pesquisa,0.03787878787878788,0.32424176231515683,0.0019350794516312666,0.007666940335331701,0.004843351784894003,6,9,15
Pesquisa operacional,0.010101010101010102,0.2922298098354436,0.0,0.0048127129013507955,0.000751999983652828,4,0,4
Peter Chen,0.012626262626262628,0.28534771008819454,2.1131296428664104e-05,0.0027157487608184335,0.0006110845944428835,1,4,5
Ph.D.,0.007575757575757576,0.2978227248562177,0.0,0.00567268091469919,0.0006830506397144487,3,0,3
Pingala,0.012626262626262628,0.29735152000777004,3.997329855137618e-05,0.005262309592595289,0.0006276844091308147,2,3,5
Placa-mãe,0.2575757575757576,0.3759824690675755,0.000898256119705714,0.10896521284191964,0.002614660055410837,48,54,102
Placa de rede,0.14393939393939395,0.37427604333807063,3.2358577082056e-05,0.10802661393561541,0.0022809916677836314,46,11,57
Placa de som,0.24494949494949497,0.37427604333807063,0.00015066281461133244,0.10802661393561541,0.0024170098983761308,46,51,97
Placa de vídeo,0.25252525252525254,0.3759824690675755,0.0004070609372181282,0.10952378955637922,0.00250821477462983,48,52,100
Placa sintonizadora de TV,0.11616161616161617,0.3755351402410226,0.0,0.10802661393561541,0.0022809916677836314,46,0,46
Planejamento automatizado,0.04797979797979798,0.2952225115112943,2.7396380209087663e-05,0.00530296192015749,0.0010279493241846852,9,10,19
Portugal,0.09595959595959597,0.363818330362448,0.006853362392797316,0.01708684432109476,0.0041436695477697705,16,22,38
Probabilidade,0.10606060606060606,0.32986195286195286,0.000911812414109669,0.01277337975205512,0.001968525213767083,21,21,42
Problema da parada,0.05050505050505051,0.3163637655325635,9.948548896269011e-05,0.014754932428411981,0.0010036415363423787,8,12,20
Problemas em aberto da Ciência da computação,0.005050505050505051,0.3007002391060362,0.0,0.005410445256639054,0.0006493328253381062,2,0,2
Processamento de imagem,0.03535353535353536,0.3077070455801799,0.0025861534427217363,0.00871457731962634,0.0015698804245154344,9,5,14
Processamento de imagens,0.015151515151515152,0.2924308092747809,2.5908949132246894e-05,0.0035373754105726793,0.0010081167602327167,5,1,6
Processamento de linguagem natural,0.10606060606060606,0.3119753652540538,0.0007691719267730156,0.007574257251266328,0.001206998410139178,15,27,42
Processamento de transação,0.03535353535353536,0.3077070455801799,0.00011769795090250379,0.005895923943577892,0.0010676298551546121,10,4,14
Processo de desenvolvimento de software,0.2676767676767677,0.3474669447281807,0.0022629198084050334,0.05156243918855094,0.0019182324562580138,44,62,106
Programa de computador,0.15404040404040406,0.36597110154802465,0.0041198884308742975,0.04906079499625723,0.0031172512676685034,36,25,61
Programador,0.11616161616161617,0.33843565615111443,0.004836222647500207,0.03035964506240678,0.0020920764456718055,26,20,46
Programação de computadores,0.5530303030303031,0.41301580074535005,0.02036459286345759,0.14777599635627583,0.003910052248629919,87,132,219
Programação estruturada,0.20454545454545456,0.32046174177003195,0.002127780071695545,0.02022731595644841,0.0014864505638625782,17,64,81
Programação extrema,0.23232323232323235,0.3361365008783487,6.00439503287796e-06,0.0482541334489962,0.0014156252126954088,34,58,92
Programação funcional,0.13636363636363638,0.32811202207753937,0.0018136781061259947,0.02084884892251607,0.0013335189114395693,21,33,54
Programação literária,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Programação lógica,0.06818181818181819,0.3225508013643607,0.00020526898325650273,0.01367516902299607,0.0010258472273360335,13,14,27
Programação orientada a aspecto,0.2601010101010101,0.3361365008783487,0.0005841423611768626,0.0482541334489962,0.001418893233246482,34,69,103
Programação orientada a objetos,0.11363636363636365,0.3192212447051157,0.0006449790245201552,0.014501010235882995,0.0011720973926110177,16,29,45
Programação procedural,0.042929292929292935,0.31357657176296977,0.0,0.01293156086794828,0.0012557458370447026,17,0,17
Projeto Genoma Humano,0.025252525252525256,0.3088595064250495,6.829350976330826e-06,0.006190941717713433,0.0007773922986474481,4,6,10
Projeto de software,0.2550505050505051,0.34408409547491603,0.0006693448079707474,0.05016037597118395,0.001514614797553862,40,61,101
Prototipação,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Prêmio Turing,0.1388888888888889,0.312369273543516,0.0010949005649806126,0.020094108411477032,0.001196918208480723,13,42,55
Python,0.1691919191919192,0.3514154327364555,0.0025804594783691744,0.028954167748391026,0.0021416710713225485,29,38,67
Pānini,0.04040404040404041,0.293471488311346,0.0011725257419554198,0.0030354482567571416,0.0010912174703914671,4,12,16
Qualidade de software,0.2297979797979798,0.3361365008783487,0.0,0.0482541334489962,0.0014152664934559938,34,57,91
Química computacional,0.045454545454545456,0.30281085024047083,0.00015527325263514394,0.005280037378692622,0.0007573754889850822,8,10,18
Rato (informática),0.28030303030303033,0.37484312825221916,0.0007251260917059401,0.10828739323968435,0.0024741182439865727,47,64,111
Realidade virtual,0.03787878787878788,0.30618374337433746,1.7507267733940812e-05,0.007479988183244471,0.0007902022045690271,8,7,15
Reconhecimento de padrões,0.02777777777777778,0.30170300566642033,0.0006761714163044624,0.006798731869247463,0.0011093323253844867,7,4,11
Recuperação de informações,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Recursividade (Ciência da Computação),0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Rede de computadores,0.4191919191919192,0.3484457248541756,0.01735208464270386,0.02589010931355897,0.002238017182507695,27,139,166
Rede neural,0.012626262626262628,0.3047488347365948,0.0,0.004953592004090359,0.0011751718354828743,5,0,5
Rede semântica,0.007575757575757576,0.2936082523346674,0.0,0.00454687653441706,0.0006433970879710743,3,0,3
Redes de Petri,0.005050505050505051,0.28651300112750056,0.0,0.0028755974211928034,0.0007073205085370274,2,0,2
Renderização,0.03282828282828283,0.31316008183096794,2.0143089023967658e-05,0.007596627841971675,0.0008885975585656617,8,5,13
Revolução Digital,0.005050505050505051,0.2856772109081578,0.0,0.0027157487608184335,0.0006110845944428835,1,1,2
Richard Matthew Stallman,0.1287878787878788,0.37770452617780864,0.00014722044295825966,0.10955260739503422,0.00248843619194889,50,1,51
Richard Stallman,0.21212121212121213,0.3139549043736861,0.0035468434058996672,0.017345313933530445,0.0031924351902495604,14,70,84
Robótica,0.11111111111111112,0.33843565615111443,0.001202765920527302,0.01576954358446648,0.0015929347215328238,24,20,44
Roteamento,0.01767676767676768,0.32126425545780385,0.0,0.007443190894896924,0.0007532060336282252,7,0,7
SQL,0.10606060606060606,0.33207579147176464,0.0009347672679162568,0.019381890679310072,0.0018255735740945376,25,17,42
Scrum (desenvolvimento de software),0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Segunda Guerra Mundial,0.11363636363636365,0.37371067167139677,0.003688862553238036,0.0327377754934518,0.006768840813886108,35,10,45
Segurança de computadores,0.03282828282828283,0.3306504621245657,0.0,0.017442741130223545,0.0013919204341813038,13,0,13
Segurança em TI,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Semântica formal,0.022727272727272728,0.30281085024047083,6.100007309671196e-05,0.006692547577100277,0.0006792278466791226,3,6,9
Service-oriented architecture,0.23989898989898992,0.3361365008783487,0.00020195465103458584,0.0482541334489962,0.0014166317729118613,34,61,95
Sistema binário (matemática),0.010101010101010102,0.29018624473169924,0.0,0.0032538864619363773,0.000926287969022383,4,0,4
Sistema de informação,0.07323232323232323,0.31555671511028655,0.006515600332380189,0.015351111401111936,0.0032803257336069995,12,17,29
Sistema especialista,0.1287878787878788,0.3080902423990843,0.0008363096172131966,0.007397201882388218,0.0011906197395378743,15,36,51
Sistema multiagente,0.06313131313131314,0.2952225115112943,0.00045245012547382346,0.00530296192015749,0.001059066701677831,9,16,25
Sistema operacional,0.07828282828282829,0.3529193504229168,7.498053883990713e-05,0.037411315306232984,0.002895543169650929,30,1,31
Sistema operativo,0.3661616161616162,0.3952020202020202,0.014600595119193453,0.11602030391020157,0.007227938648882146,63,82,145
Sistemas de Informação,0.01767676767676768,0.3073248008030617,2.3916666075315975e-05,0.007885564441832579,0.001005993372509567,6,1,7
Sistemas de informação,0.015151515151515152,0.31079957870158875,1.0230735800009716e-05,0.00871982047390816,0.0009375588738037811,5,1,6
Sistemas operacionais,0.03535353535353536,0.3159597249635564,2.694663224007298e-06,0.008138521293314065,0.0010798198732728036,13,1,14
Sociedade,0.042929292929292935,0.288005197492974,6.86943245932484e-05,0.004260546345875007,0.0008997456017326168,4,13,17
Software,0.6010101010101011,0.4564510417831451,0.05826974755390387,0.16079474494042723,0.009200648888570806,103,135,238
Software livre,0.1186868686868687,0.32509390886526235,0.00155425935200849,0.015934936101468317,0.001452803480803109,15,32,47
Stan Kelly-Bootle,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Steve Jobs,0.37878787878787884,0.3147537718148405,0.004438984445915163,0.01431031490557712,0.0011748122654453193,13,137,150
Steve Wozniak,0.09090909090909091,0.312369273543516,0.0008679658589558016,0.01500827522468143,0.001265447027655987,15,21,36
Sânscrito,0.03282828282828283,0.3111905215678801,0.0026209221435941205,0.0042773773671274384,0.0016679410458349598,6,7,13
Século XIII,0.005050505050505051,0.30033751264149333,0.0,0.0032702434297903087,0.0008411767774344919,2,0,2
Século XVI,0.015151515151515152,0.29699455539791675,0.0001663145636559458,0.0030123234776979774,0.0008828205590860852,3,3,6
TeX,0.022727272727272728,0.30207138540471873,8.408159706575516e-06,0.005867549777222417,0.0006831636454528126,3,6,9
Tear,0.015151515151515152,0.29735152000777004,3.8027591497691895e-07,0.005262309592595289,0.0006276844091308147,2,4,6
Teclado (informática),0.2828282828282829,0.38356041030459637,0.0025016145715934515,0.1098817225786241,0.0032389718509366456,52,60,112
Tecnologia da informação,0.06818181818181819,0.32046174177003195,0.002413541329059011,0.01129969301736561,0.0014179993076388136,12,15,27
Telecomunicação,0.015151515151515152,0.3104096168713484,1.646519667334074e-05,0.006162506282560333,0.0010451960779154586,5,1,6
Telecomunicações,0.08585858585858587,0.3455257886123808,0.004252100598188559,0.020260163008653805,0.0031092937936387064,23,11,34
Teorema da incompletude de Gödel,0.005050505050505051,0.2925732056166839,0.0,0.0031918818460293526,0.0006687685217139372,2,0,2
Teoria da complexidade,0.005050505050505051,0.2856772109081578,0.0,0.0027157487608184335,0.0006110845944428835,1,1,2
Teoria da computabilidade,0.06818181818181819,0.3294227225651993,0.0019398818880182387,0.013385519787078722,0.0014265896944145244,17,10,27
Teoria da computação,0.36868686868686873,0.392070466951608,0.013846486239702832,0.11282161845573807,0.003733696025660822,63,83,146
Teoria da informação,0.15151515151515152,0.3464936479642362,0.005397627322001676,0.02126518290820225,0.002812505643485479,33,27,60
Teoria das categorias,0.10353535353535355,0.32552166400850613,0.0003938690444361051,0.012830538646468747,0.0018114104749845075,22,19,41
Teoria de linguagem de programação,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Teoria do caos,0.045454545454545456,0.3183995683995684,0.0004979750060900091,0.007713413591453076,0.0011156911341232477,7,11,18
Teoria dos autômatos,0.05808080808080809,0.3175821112278108,0.00022343632999701667,0.010922806693176293,0.001121566088750791,12,11,23
Teoria dos conjuntos,0.16666666666666669,0.3412365029606409,0.0019327045596177735,0.023140662422744037,0.002410315425540937,31,35,66
Teoria dos grafos,0.1186868686868687,0.3334184159655858,0.0025954445048520128,0.016050361950886813,0.0021149341690238324,24,23,47
Teoria dos números,0.1388888888888889,0.33386837334205755,0.0007737449162741199,0.01675697887309241,0.002118321539129564,25,30,55
Teoria dos tipos,0.05808080808080809,0.32466727643892995,0.0003564424410744236,0.010479118484248687,0.0012761449811596933,15,8,23
Terminologia,0.11363636363636365,0.37371067167139677,0.0001047764077251695,0.10692689200277962,0.002584052287694626,43,2,45
Tesauro de Arte e Arquitetura,0.11111111111111112,0.39774351229335153,0.0005720906741108817,0.05430779329222221,0.00948419071859136,42,2,44
Tese de Church-Turing,0.05555555555555556,0.3179903144556101,0.000312530470520036,0.011224238862048529,0.0013927856968070185,11,11,22
Teste de Turing,0.07828282828282829,0.314353830554593,0.00021218752174636003,0.010554632041416176,0.0011284174233360475,11,20,31
Teste de software,0.26262626262626265,0.3431296319645834,0.0006019598233249297,0.050029367128652254,0.0014584018891915138,39,65,104
The Art of Computer Programming,0.030303030303030304,0.3119753652540538,8.899858353099928e-05,0.009490645811870098,0.0008804894249714132,6,6,12
Tim Berners-Lee,0.13636363636363638,0.3356804133601963,0.003716014578149846,0.027923536448854834,0.0019361785300125217,22,32,54
Tolerância a falhas,0.012626262626262628,0.28733619587278125,1.5153882945725422e-06,0.003213714675102002,0.0006454419587952054,2,3,5
Tom Kilburn,0.015151515151515152,0.29003102537686365,1.8722487076917458e-06,0.0033826905834247567,0.0006625258902863318,2,4,6
Topologia de rede,0.18939393939393942,0.32898466043412855,0.0008558723595328217,0.012579382719018584,0.0012533856130976927,13,62,75
Transístor,0.07575757575757576,0.34170782409732686,0.0019004578884628447,0.018903989157326304,0.002604681889975035,19,11,30
UML,0.2601010101010101,0.3455257886123808,0.004119185427667563,0.05237212938891654,0.002984735654195452,40,63,103
UTF-8,0.020202020202020204,0.3009689350930227,0.00010731763707221868,0.0063948698759001945,0.0010328473750984093,4,4,8
Unix,0.10353535353535355,0.32339407143328713,0.0020174836535433592,0.01977238659654561,0.0019904991026056186,22,19,41
Usabilidade,0.23989898989898992,0.3365938294509723,0.000342485284103519,0.04851491275306515,0.0014652948528420084,35,60,95
Utilitário,0.2373737373737374,0.37090924234852274,0.00026806566194049304,0.10373139909030125,0.0022051682199889467,40,54,94
Vida artificial,0.04040404040404041,0.29914929219645064,0.00011027392888840138,0.0046600421402351695,0.0007084576020594672,7,9,16
View model,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Visão computacional,0.10858585858585859,0.3092455808080808,0.0022916760067030963,0.008836212937798703,0.0014622739958810923,17,26,43
Walter H. Brattain,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Wikimedia,0.09343434343434344,0.3902504670529749,0.0,0.03531887415753343,0.005835944005925022,37,0,37
William Shockley,0.010101010101010102,0.29570047266009264,0.0,0.003743277810222335,0.0009215025666389029,4,0,4
Windows,0.020202020202020204,0.31838848846521484,0.0,0.008009863119691553,0.0010509550959873913,8,0,8
World Wide Web,0.31818181818181823,0.3952020202020202,0.005236293689884449,0.11063951331218189,0.0037031240379697826,50,76,126
Ábaco,0.05555555555555556,0.30656315321742833,0.0002459052903539974,0.008282547114598101,0.0007367757497357499,4,18,22
Álgebra,0.15909090909090912,0.33386837334205755,0.004727302246158091,0.01771472975194872,0.0019799888300588843,22,41,63
Álgebra booleana,0.042929292929292935,0.32213081334175087,4.914157385184187e-05,0.01336828788240904,0.001642081803011099,16,1,17
Álgebra booliana,0.05050505050505051,0.3316306496601403,0.002714455454195716,0.015046559280170452,0.002743002913388175,15,5,20
Álgebra computacional,0.007575757575757576,0.2915454308896932,0.0,0.0034416969437133073,0.0006837390633562955,3,0,3
Álgebra linear,0.11111111111111112,0.3192212447051157,0.0006523812916344487,0.013537559924876087,0.0016231823532475839,17,27,44
Índice (estruturas de dados),0.03282828282828283,0.2977093437382246,4.558859600117915e-06,0.004533383143874064,0.0006521859948501435,6,7,13
