modelo,nos,arestas,grau_medio,densidade,clustering,average_path_length,diametro,componentes,maior_componente
Rede real,397.0,7200.0,36.272040302267,0.09159606136936112,0.5787852241705922,1.9084548253313995,2.0,1.0,397.0
Barabási–Albert,397.0,6822.0,34.367758186397985,0.08678726814746966,0.16674741935621146,1.9828308271633208,3.0,1.0,397.0
Erdős–Rényi,397.0,7200.0,36.272040302267,0.09159606136936112,0.09169071554078728,1.9412500318041879,3.0,1.0,397.0
Watts–Strogatz,397.0,7146.0,36.0,0.09090909090909091,0.5456099900821259,2.3273999440246294,3.0,1.0,397.0
