nos,arestas,grau_medio,densidade,clustering,average_path_length,diametro,componentes,maior_componente,modelo,repeticao
397,7200,36.272040302267,0.09159606136936112,0.5787852241705922,1.9084548253313995,2,1,397,Rede real,0
397,7200,36.272040302267,0.09159606136936112,0.09202150443807226,1.9416075108770323,3,1,397,Erdős–Rényi,1
397,7146,36.0,0.09090909090909091,0.5509544109581059,2.32841004503473,3,1,397,Watts–Strogatz,1
397,6822,34.367758186397985,0.08678726814746966,0.1716745653129445,1.9789201842098567,3,1,397,Barabási–Albert,1
397,7200,36.272040302267,0.09159606136936112,0.09045079779366869,1.9411113655446148,3,1,397,Erdős–Rényi,2
397,7146,36.0,0.09090909090909091,0.5472149616418603,2.3293514489988043,3,1,397,Watts–Strogatz,2
397,6822,34.367758186397985,0.08678726814746966,0.16526738167733224,1.9847594331221534,3,1,397,Barabási–Albert,2
397,7200,36.272040302267,0.09159606136936112,0.090858919585573,1.9404243950843447,3,1,397,Erdős–Rényi,3
397,7146,36.0,0.09090909090909091,0.5430531444572086,2.3252932346131336,3,1,397,Watts–Strogatz,3
397,6822,34.367758186397985,0.08678726814746966,0.17061684883183245,1.9807393837620537,3,1,397,Barabási–Albert,3
397,7200,36.272040302267,0.09159606136936112,0.09214864762642228,1.9406788285881484,3,1,397,Erdős–Rényi,4
397,7146,36.0,0.09090909090909091,0.5448029896114106,2.3328244663257256,3,1,397,Watts–Strogatz,4
397,6822,34.367758186397985,0.08678726814746966,0.16605143735889075,1.9817952828028396,3,1,397,Barabási–Albert,4
397,7200,36.272040302267,0.09159606136936112,0.09085543457714647,1.9405897768618172,3,1,397,Erdős–Rényi,5
397,7146,36.0,0.09090909090909091,0.5435750930674988,2.326463628730631,3,1,397,Watts–Strogatz,5
397,6822,34.367758186397985,0.08678726814746966,0.15977426395809055,1.986273312469786,3,1,397,Barabási–Albert,5
397,7200,36.272040302267,0.09159606136936112,0.09130830244688772,1.9412767473220873,3,1,397,Erdős–Rényi,6
397,7146,36.0,0.09090909090909091,0.551496135033477,2.3398849960562806,3,1,397,Watts–Strogatz,6
397,6822,34.367758186397985,0.08678726814746966,0.16345799777792608,1.9828893468691957,3,1,397,Barabási–Albert,6
397,7200,36.272040302267,0.09159606136936112,0.09140308535373282,1.9420273261583085,3,1,397,Erdős–Rényi,7
397,7146,36.0,0.09090909090909091,0.54530573422772,2.3264763504058212,3,1,397,Watts–Strogatz,7
397,6822,34.367758186397985,0.08678726814746966,0.16447796722509309,1.9857771671373687,3,1,397,Barabási–Albert,7
397,7200,36.272040302267,0.09159606136936112,0.092679224822586,1.9423453680380633,3,1,397,Erdős–Rényi,8
397,7146,36.0,0.09090909090909091,0.5456642471985719,2.3245680991272932,3,1,397,Watts–Strogatz,8
397,6822,34.367758186397985,0.08678726814746966,0.16988654377192766,1.9826476350405822,3,1,397,Barabási–Albert,8
397,7200,36.272040302267,0.09159606136936112,0.09301967654907288,1.9420273261583085,3,1,397,Erdős–Rényi,9
397,7146,36.0,0.09090909090909091,0.5533543600755563,2.3379131364018013,3,1,397,Watts–Strogatz,9
397,6822,34.367758186397985,0.08678726814746966,0.172893184681202,1.9813881891967535,3,1,397,Barabási–Albert,9
397,7200,36.272040302267,0.09159606136936112,0.09216156221471074,1.9404116734091545,3,1,397,Erdős–Rényi,10
397,7146,36.0,0.09090909090909091,0.5306788245498488,2.30281403455207,3,1,397,Watts–Strogatz,10
397,6822,34.367758186397985,0.08678726814746966,0.1633740029668753,1.983118337022619,3,1,397,Barabási–Albert,10
