modelo,erro_absoluto_grau_medio,erro_relativo_grau_medio,erro_absoluto_clustering,erro_relativo_clustering,erro_absoluto_average_path_length,erro_relativo_average_path_length,erro_absoluto_diametro,erro_relativo_diametro
Barabási–Albert,1.904282115869016,0.052499999999999956,0.41203780481438074,0.711901043093899,0.07437600183192128,0.038971843003413,1.0,0.5
Erdős–Rényi,0.0,0.0,0.4870945086298049,0.8415807596467559,0.03279520647278833,0.017184167022184296,1.0,0.5
Watts–Strogatz,0.27204030226700127,0.007499999999999966,0.03317523408846634,0.05731873016628395,0.4189451186932298,0.21952058447098993,1.0,0.5
